ICRF J175653.1+153520  1754+155    0.60   -12.1   -12.6    0.86    0.61    0.64    0.34    14.4   181
ICRF J173957.1+473758  1738+476    0.65     7.0    11.3    2.64    0.60    1.05    0.38    28.2    66
ICRF J210101.6-293327  2058-297    0.69   -54.3   -16.2    3.18    0.97    1.66    0.34    13.3    20
ICRF J063111.9-415426  0629-418    0.87   -15.1   -59.1    2.35    1.41    1.80    0.96    21.3    28
ICRF J130933.9+115424  1307+121    0.60    18.2    15.3    0.49    0.53    0.02    0.02    21.9    74
ICRF J103303.7+411606  1030+415    0.66     7.1    11.5    1.09    0.47    0.54    0.36    29.1   126
ICRF J124604.2-073046  1243-072    0.70    16.7    -6.8    0.46    0.55    0.16    0.19    28.7   218
ICRF J173340.7-793555  1725-795    0.92   -35.1    66.9    4.67    1.02    1.23    0.28    11.7    28
ICRF J203154.9+121941  2029+121    0.61    -3.3   -12.0    2.06    1.62    0.37    0.12    28.3    97
ICRF J131736.4+342515  1315+346    0.68   -15.3     1.2    1.03    0.43    0.00    0.00    19.0    28
ICRF J222940.0-083254  2227-088    0.70    10.7    -2.9    0.56    0.41    0.21    0.18    29.5   395
ICRF J170336.5-621240  1659-621    0.93   -56.6   -56.0    3.05    0.64    0.92    0.25    12.7    43
ICRF J073807.3+174218  0735+178    0.62    -3.1     2.2    0.64    0.58    0.12    0.17    28.4   536
ICRF J182407.0+565101  1823+568    0.70    -2.9     8.4    1.33    0.30    0.60    0.12    36.2   224
ICRF J151053.5-054307  1508-055    0.71     9.3   -16.1    0.29    0.46    0.05    0.03    13.0    28
ICRF J223513.2-483558  2232-488    0.97   -20.2   -80.9    5.25    0.53    3.77    0.30    25.6   211
ICRF J151656.7+193212  1514+197    0.63    12.4    -3.8    0.77    0.44    0.45    0.28    25.2    98
ICRF J144553.3-162901  1443-162    0.72    37.4     8.2    0.84    0.79    0.47    0.41    26.0    45
ICRF J064204.2+675835  0636+680    0.72    -8.2    -8.8    0.80    0.33    0.03    0.02    25.3    72
ICRF J191240.0-801005  1903-802    0.99     4.9   -26.9    2.04    0.40    0.07    0.14    22.1    22
ICRF J215224.8+173437  2150+173    0.63     5.5   -12.7    1.63    0.68    0.76    0.30    28.9    74
ICRF J124553.7-161645  1243-160    0.73   -31.8   -26.2    1.12    0.62    0.34    0.19    19.1    92
ICRF J223638.5+732252  2235+731    0.73    -7.8    11.2    2.59    0.41    0.94    0.14    15.1    87
ICRF J162854.6-615236  1624-617    1.00    47.8   -75.7    3.98    0.70    1.62    0.22    12.3    37
ICRF J090910.0+012135  0906+015    0.63  -108.4  -305.3    0.45    0.91    0.84    1.15    28.7    37
ICRF J151741.8-242219  1514-241    0.74    10.2    -7.6    1.28    0.88    0.35    0.21    29.1   266
ICRF J003824.8+413706  0035+413    0.76     1.7   -16.2    0.32    0.53    0.04    0.03    22.4    46
ICRF J055009.5-573224  0549-575    1.05    95.1   102.3    1.38    1.05    0.48    0.48    11.7    39
ICRF J101827.8+053029  1015+057    0.64    11.7   -15.8    0.26    0.37    0.13    0.21    21.2   108
ICRF J114608.1-244732  1143-245    0.76    -3.9   -35.7    1.23    1.06    0.20    0.28    22.1    44
ICRF J174726.6+465850  1746+470    0.78    -0.2    14.2    1.12    0.27    0.28    0.09    22.2    59
ICRF J180957.8-455241  1806-458    1.05   152.6    84.0    6.36    1.30    2.31    0.24    14.9    47
ICRF J122503.7+125313  1222+131    0.66    14.0    26.0    0.51    0.62    0.21    0.21    13.2    26
ICRF J081815.9+422245  0814+425    0.79    18.8    14.3    0.73    0.36    0.09    0.02    36.3   237
ICRF J085009.6-121335  0847-120    0.82    56.9    15.8    1.01    0.54    0.13    0.15    12.4   139
ICRF J215155.5-302753  2149-307    1.12     2.7    36.6    1.69    0.48    0.35    0.16    27.1   187
ICRF J141959.2+270625  1417+273    0.68    -1.6   -15.9    0.86    0.46    0.00    0.00    17.1    20
ICRF J154917.4+503805  1547+507    0.80    -5.8   -14.0    1.65    0.40    0.30    0.10    22.2    28
ICRF J130533.0-103319  1302-102    0.87    45.1    -5.1    0.94    0.76    0.33    0.34    25.7    55
ICRF J052257.9-362730  0521-365    1.15   -67.6   -10.5    1.22    0.63    0.16    0.20    25.8   235
ICRF J160341.9+110548  1601+112    0.69   -35.6    11.3    0.58    0.33    0.12    0.09    21.0    49
ICRF J152149.6+433639  1520+437    0.82   -11.9     9.2    1.31    0.48    0.22    0.09    20.3   285
ICRF J162546.8-252738  1622-253    0.93    -1.0    -3.0    2.15    0.73    0.24    0.14    29.6  2215
ICRF J215852.0-301332  2155-304    1.16    19.3   -69.3    1.97    0.97    2.77    0.46    24.2    42
ICRF J125438.2+114105  1252+119    0.69    12.2     6.6    0.70    0.99    0.12    0.12    29.0    79
ICRF J173420.5+385751  1732+389    0.87    -6.1    -9.0    1.63    0.43    0.41    0.15    29.1   120
ICRF J034838.1-274913  0346-279    0.93   -26.7     9.8    0.52    0.64    0.29    0.43    18.9   133
ICRF J082804.7-373106  0826-373    1.19    -7.0    40.7    0.96    0.91    0.40    0.19    26.8   166
