## This list was generated at 2016-10-26 00:15:28
##format:
##soure  Num_ave    R.A.                 Decl.            
##                mean  Std  AStd WAd | mean  Std  AStd WAd
## Num_ave: Number of one-year average points
## unit: deg for mean while mas for the others
0307+380    7      47.7078       0.4295       0.0514       0.0550      38.2483       0.3927       0.1473       0.1439
0308-611   17      47.4837       0.7448       0.6720       0.1094     -60.9775       0.5809       0.4371       0.1963
0309+411    9      48.2582       0.4624       0.1478       0.3450      41.3337       0.5108       0.2884       0.1210
0317+188    6      49.9636       0.6947       0.7041       0.6641      19.0254       0.7239       0.7986       0.1946
0319+121    4      50.4713       0.3126       0.0421       0.0458      12.3539       0.7359       0.0780       0.0833
0322+222   10      51.4034       0.2840       0.1042       0.1033      22.4001       0.3164       0.2559       0.0763
0325+395    2      52.2096       3.3387       0.1042       0.0000      39.6790       9.6962       0.2559       0.0000
0326+277    1      52.4903       0.7093       0.1042       0.0000      27.9376       0.7010       0.2559       0.0000
0332+078    7      53.7222       0.3712       0.1547       0.1422       8.0040       0.7732       0.4746       0.2348
0332-403    7      53.5569       0.4367       0.0521       0.0639     -40.1404       0.4972       0.0732       0.0760
0333+321   14      54.1254       0.9537       0.2541       0.1371      32.3082       0.7607       0.6365       0.0703
0334-546    4      53.9747       1.7342       0.6225       0.5643     -54.5070       1.2835       0.5916       0.3925
0336-019   28      54.8789       0.3858       0.1843       0.0931      -1.7766       0.8913       0.4487       0.0793
0338-214   10      55.1484       1.6457       0.6825       0.4026     -21.3253       1.5293       0.3331       0.2948
0340+362    6      55.8706       0.4883       0.4015       0.4231      36.3701       0.4683       0.3753       0.2168
0341+158    2      56.0966       0.3927       0.3875       0.3875      15.9954       1.2320       0.1496       0.1496
0342+147    4      56.2767       0.3099       0.2704       0.3139      14.8971       0.5488       0.4547       0.0754
0345+460    7      57.3281       0.5579       0.1848       0.1481      46.1666       0.4806       0.1919       0.1759
0346-279    7      57.1589       0.5212       0.2157       0.2863     -27.8204       0.6391       0.3823       0.4313
0347-211    6      57.4909       0.6400       1.9634       0.9500     -21.0466       0.5708       0.6059       0.4656
0355+508   26      59.8739       3.4558       1.7681       2.0830      50.9639       2.8554       3.6883       1.4102
0358+210    4      60.4382       0.5749       0.1267       0.0952      21.1746       0.9470       0.5421       0.4940
0400+258    8      60.7733       0.4647       0.1012       0.0478      26.0004       0.4696       0.0819       0.0283
0400-319   12      60.5886       1.2639       0.7308       0.1762     -31.7905       1.3000       0.5479       0.6238
0402-362   24      60.9740       1.1542      12.4616       0.4038     -36.0839       0.9096       5.2176       0.3472
0403-132    7      61.3917       0.6486       0.9474       0.8331     -13.1371       1.7297       1.9057       0.8701
0405-123    6      61.9518       0.2756       0.0730       0.0633     -12.1935       0.7103       0.2970       0.5027
0405-385   16      61.7460       0.9248       0.3224       0.2692     -38.4411       0.9697       0.3677       0.3452
0406+121    5      62.3417       0.4465       0.1221       0.1476      12.2944       0.8417       0.2028       0.2909
0406-127    6      62.2740       0.4360       0.0504       0.0333     -12.6467       0.6383       0.3995       0.3556
0414-189   13      64.1523       0.5244       0.1358       0.1419     -18.8523       0.6526       0.3303       0.3159
0415+398    6      64.8440       0.3774       0.1965       0.1382      39.9247       0.5652       0.1484       0.1176
0420+022    7      65.7176       0.2345       0.0748       0.0787       2.3241       0.3170       0.2520       0.1406
0420+417    4      65.9834       0.3708       1.1792       3.4929      41.8341       0.2592       0.2155       0.2339
0420-014   24      65.8158       0.4333       0.0974       0.0691      -1.3425       0.8473       0.5042       0.1222
0422+004    9      66.1952       0.2696       0.0524       0.0962       0.6018       0.8419       0.2194       0.1615
0422-380    8      66.1760       0.8660       1.4010       0.5655     -37.9391       0.7752       0.1994       0.2878
