#  Radio source position difference from decimation tests (Clean sample)
#  Columns  Units   Meaning
#     1      -      IVS designation
#     2     deg     Right ascension(odd session)
#     3     deg     Declination(odd session)
#     4     mas     Difference of RA*cos(Dec)
#     5     mas     Difference of Declination
#     6     mas     Formal uncertainty of difference in RA*cos(Dec)
#     7     mas     Formal uncertainty of difference in declination
#     8     mas     Minimum semi-major axis of error ellipse
#     9     mas     Angular separation
#    10      -      Normalized separation
#    10      -      Mean number of sessions in two solutions
#    11      -      Mean number of observations in two solutions
#  Created date: 27/04/2020 by decimation_solution_xmatch.ipynb.
#  Original data: ../data/deci-test{1,2}b.cat
 0403-132   61.3916808057  -13.1371363650     +0.0228     -0.0202      0.0269      0.0376      0.0229      0.0304    0.93      73      2615 
 0405+305   62.0849065232  +30.5418030227     +0.0322     +0.9234      0.5518      1.0977      0.3590      0.9240    0.97       8        78 
 0405-123   61.9517957607  -12.1935165522     -0.0190     -0.2797      0.0628      0.1058      0.0746      0.2804    2.65      20       572 
 0406+121   62.3417029747  +12.2944021145     +0.1432     -0.1724      0.0604      0.0874      0.0629      0.2241    2.74      29       627 
 0406-127   62.2740405261  -12.6467066140     -0.0752     +0.0187      0.0615      0.1030      0.0557      0.0775    1.22      49       915 
 0409+229   63.1819452747  +23.0848480527     -0.0321     +0.3812      0.1558      0.2443      0.0678      0.3826    1.61      11       400 
 0410+110   63.4180874731  +11.2041072444     -0.2115     +0.0814      0.0891      0.1225      0.0824      0.2266    2.38      14       449 
 0414-189   64.1522685348  -18.8523167319     -0.0620     -0.0889      0.0330      0.0333      0.0234      0.1084    3.24      98      2056 
 0415+398   64.8439563336  +39.9247159861     +0.0403     -0.0428      0.0287      0.0321      0.0209      0.0588    1.91      71      2048 
 0420+022   65.7175610471   +2.3241474379     -0.0036     +0.0274      0.0154      0.0188      0.0134      0.0276    1.46     100      6723 
 0420+417   65.9833741390  +41.8340869311     +0.0220     -0.0151      0.0352      0.0435      0.0296      0.0267    0.71      29      1200 
 0420-014   65.8158363462   -1.3425182139     -0.0029     +0.0259      0.0086      0.0112      0.0079      0.0261    2.32     855     38690 
