0107-610 11  9 8.4391 0.5105 0.6343 0.3741 -60.8301 0.6969 0.4224 0.2560  3
0109+224 23 20 16.6227 4.1479 3.5361 3.9624 22.7441 12.6635 7.0824 9.5591  2
0110+495 15 11 11.8506 0.3240 0.1600 0.1903 49.8067 0.3956 0.1557 0.1993  5
0111+021 27 24 18.4140 0.2804 0.8249 0.1611 2.3715 0.4012 1.4014 0.3787  2
0112-017 11  6 18.8152 0.5956 1.1073 0.5662 -1.4513 0.9008 2.3578 0.6117 13
0113-118 11  5 18.6628 0.3911 0.4682 0.2641 -11.6043 1.0870 2.0788 1.0880  3
0115-214 10  8 18.1385 1.4735 0.7788 0.5675 -21.1852 5.2714 1.5551 1.3829 10
0116-219 13 11 18.3408 0.4704 0.5716 0.3017 -21.6917 0.8704 1.2350 0.4720  7
0118-272 12  8 17.9339 0.8019 0.4214 0.6007 -27.0235 1.4449 0.8228 0.8432  7
0119+041 29 28 20.4273 1.1121 0.2965 0.1271 4.3735 3.9445 0.4270 0.2199  1
0119+115 27 25 19.9895 0.3141 0.3677 0.0635 11.8307 0.6370 0.3835 0.0984  2
0123+257 15 10 19.4870 0.3158 0.2698 0.2731 25.9837 0.5085 0.5256 0.2941  4
0130-171 12 10 22.1785 0.6038 1.8023 0.8320 -16.9135 0.7904 0.8757 0.5281  2
0131-522 18 13 14.3286 0.8287 1.0201 0.3700 -52.0011 0.7881 0.9548 0.2475  8
0133+476 31 27 16.2671 122.8164 0.1211 0.0584 47.8581 66.3383 0.1369 0.0893  4
0134+311 11  8 20.7348 0.3593 0.0520 0.0769 31.3766 0.6327 0.1725 0.1810  6
0135-247 14  9 22.2093 1.8371 0.9849 1.6362 -24.5150 4.2991 1.6162 1.5496  6
0138-097 19 14 25.0114 0.4454 0.2713 0.2545 -9.4788 0.6068 0.8404 0.4720  8
0146+056 13 10 27.1968 0.4278 1.2225 0.3226 5.9315 0.6886 1.6208 0.5121 13
0148+274 14  9 24.6597 0.3847 0.3265 0.3970 27.7449 0.6120 0.5034 0.5603  3
0149+218 25 21 26.0091 0.7960 0.9872 0.3721 22.1188 0.7020 1.0737 0.4581  3
0150-334 13  7 23.6809 1.1317 0.6397 0.9870 -33.1739 1.2109 0.9465 0.7390  4
0151+474 18 15 19.3298 0.2863 0.2469 0.1348 47.7240 0.3354 0.2542 0.2568  3
0153+744 15 11 7.7508 0.7920 2.5953 1.4275 74.7120 0.6734 1.9902 1.1411  6
0159+723 21 15 9.2637 1.4338 0.5416 0.3644 72.5482 3.1472 1.1376 0.6615  4
0201+113 28 27 30.3146 0.3141 0.2113 0.0726 11.5793 1.0359 0.5500 0.1992  1
0202+319 29 25 26.4585 0.2821 5.3801 0.0689 32.2084 0.3185 1.1850 0.0989  3
0202-172 17 11 29.8717 0.3722 0.4350 0.2476 -17.0222 0.6301 0.5088 0.2275  5
0206+136 10  6 31.4557 0.9833 0.1681 0.3912 13.8669 0.8868 0.9523 0.6686  6
0208-512 28 26 20.5664 1.1809 1.4454 0.3948 -51.0172 2.6522 1.8713 0.5408  2
0215+015 21 17 34.4380 0.2385 0.3321 0.0769 1.7471 1.6835 0.5186 0.3432  3
0219+428 11  8 26.0687 0.3819 0.5720 0.4560 43.0355 0.2465 0.3439 0.2662  6
0220-349 16 12 29.3824 1.4843 1.9877 1.2464 -34.6913 1.0973 1.1638 0.6407  5
0221+067 23 19 35.8500 0.7811 0.9724 0.3297 6.9898 1.1102 5.0495 0.7652  4
0224+671 17 11 14.3285 1089.8390 0.7862 0.4493 67.3508 651.6032 0.6313 0.3290  7
0227-369  9  5 29.9485 2.4592 1.0279 1.2076 -36.7325 5.8270 0.9933 1.2123  3
0229+131 34 32 36.9111 0.4227 2.1971 0.0855 13.3819 0.7312 0.2787 0.1486  2
0230-790 21 17 7.2661 0.5265 3.3248 0.3720 -78.7960 0.5087 2.9364 0.3507  6
0234+285 36 35 34.5856 352.0312 0.5366 0.1484 28.8025 238.1556 0.2496 0.2048  1
0234-301 12 11 33.9220 0.6112 0.7376 0.5331 -29.8988 1.1571 1.0432 0.9857  1
