0300+470      5.8571        2.2559     -2.7435      5.1748      1.4225      1.7509     45.8968     47.2712
1508+572      5.9041        7.1687     -5.4516      2.2669      4.8120      5.3137    227.5122     57.0454
0405-123      6.0374       22.2795      3.1971     -5.1214      9.4499     20.1761     61.9518    -12.1935
0133+476      6.0846        1.2211      6.0249      0.8503      0.7107      0.9930     24.2441     47.8581
0201+113      6.0909        3.0102      5.2391     -3.1066      1.4345      2.6464     30.9444     11.5793
1749+096      6.1188        1.0685      4.7549     -3.8512      0.5078      0.9402    267.8867      9.6502
0202+319      6.3060        4.4916      2.8116      5.6445      2.4485      3.7656     31.2705     32.2084
1925-610      6.5935       28.4693      2.5273     -6.0899     15.2575     24.0356    292.5257    -60.9359
0812+367      6.7370        8.7037      2.6032     -6.2137      4.9442      7.1630    123.8581     36.5875
2136+141      6.7776        3.1572      6.4013      2.2270      1.4707      2.7937    324.7555     14.3933
0656+082      6.8025        7.1373     -0.8962      6.7432      2.9165      6.5143    104.8250      8.2253
1754+155      6.8771       18.1211     -3.1114      6.1330      9.8399     15.2168    269.2213     15.5891
1830+285      7.2003       16.8165      1.8134      6.9682      8.7146     14.3822    278.2091     28.5600
1652+398      7.3218        4.2416      5.2320     -5.1221      2.4892      3.4344    253.4676     39.7602
1252+119      7.4487        9.2156      3.5646     -6.5404      4.8624      7.8285    193.6594     11.6850
0804+499      7.9843        1.7844      7.6083      2.4212      1.1237      1.3862    122.1653     49.8435
1732+389      8.1985        6.6122      7.4977     -3.3165      3.5703      5.5654    263.5857     38.9643
1633+382      8.2078        3.4573      7.7007     -2.8401      1.7783      2.9649    248.8146     38.1346
1147+245      8.2322        7.2223      3.2933      7.5448      4.3109      5.7946    177.5801     24.2983
0454-810      8.4021        8.8841     -6.8962      4.7998      6.1214      6.4387     72.5227    -81.0173
1807+698      8.6225        1.3105      8.6040     -0.5650      0.9142      0.9389    271.7112     69.8245
0707+476      8.6548        8.2237      7.9054      3.5227      5.4347      6.1719    107.6921     47.5364
1637+574      8.6800        3.2043      6.2097     -6.0649      1.9247      2.5618    249.5561     57.3400
0805+410      8.9664        2.5588      3.5783      8.2214      1.4934      2.0778    122.2361     40.8791
1257+145      9.0795       34.8478     -1.5093      8.9532     20.5814     28.1207    195.0872     14.2885
1101+384      9.1644        3.3597      8.6549     -3.0132      1.9575      2.7305    166.1138     38.2088
1156+295      9.2460        1.5564      8.7106      3.1004      0.8337      1.3142    179.8826     29.2455
0718+792      9.5605        1.7947     -9.3320     -2.0780      1.3447      1.1885    111.5489     79.1919
1555+001      9.7673        6.1351      6.9572     -6.8555      3.1676      5.2542    239.4643     -0.0307
0537-441      9.7883        2.1488      6.3394     -7.4580      1.2263      1.7646     84.7098    -44.0858
0507+179      9.8170        8.5464     -4.5592     -8.6940      4.6411      7.1764     77.5099     18.0116
0458-020      9.8181        1.4580     -4.7074     -8.6160      0.7448      1.2534     75.3034     -1.9873
1308+328      9.9257        4.3135      9.6795      2.1968      2.4584      3.5444    197.7475     32.5596
0823+033     10.2588        2.2869      6.9073      7.5850      0.8749      2.1130    126.4597      3.1568
0016+731     10.4440        1.3427     -8.9520      5.3796      0.9432      0.9557      4.9408     73.4583
0003-066     10.4774        2.5638      5.5088      8.9123      1.2077      2.2615      1.5579     -6.3931
1606+106     10.4848        1.6336      9.1844      5.0575      0.7575      1.4474    242.1925     10.4855
0743-673     10.6930       24.9848     -3.8541      9.9743     16.6583     18.6210    115.8817    -67.4404
0229+131     10.7946        1.1417     10.7944     -0.0525      0.5787      0.9842     37.9412     13.3819
0221+067     10.9962       10.1871      9.0480     -6.2491      4.9666      8.8944     36.1185      6.9898
0336-019     11.0148        1.5647      5.1154     -9.7549      0.7858      1.3531     54.8789     -1.7766
1228+126     11.0392        1.7344      7.3328     -8.2519      0.9302      1.4639    187.7059     12.3911
0234+285     11.1469        1.8686      1.0112     11.1009      0.9568      1.6051     39.4684     28.8025
1219+044     11.3228        2.8719     10.2685     -4.7712      1.1587      2.6278    185.5940      4.2210
0434-188     11.5469       12.4073     -0.1713     11.5456      5.3360     11.2013     69.2562    -18.7468
0306+102     11.6470        8.7343      2.4215    -11.3925      4.4625      7.5083     47.2651     10.4879
1616+063     11.6870       14.8503    -10.6936     -4.7152      7.1916     12.9928    244.7654      6.2173
1053+815     11.7914        2.5048    -11.7290      1.2110      1.7596      1.7827    164.5481     81.2424
2230+114     11.8153        5.1367      1.0568     11.7679      2.3463      4.5695    338.1517     11.7308
0657+172     11.9143        1.0146      2.9573    -11.5414      0.6678      0.7639    105.0064     17.1560
0920+390     12.4009        5.2448     11.2475      5.2228      3.0619      4.2583    140.8102     38.8278
0646-306     12.6984       13.0028     -1.5193    -12.6072      6.0241     11.5231    102.0587    -30.7388
1042+071     12.7288       20.0121     -4.6939    -11.8317      9.8918     17.3965    161.2330      6.9273
1055+018     12.9319        4.1354     -0.6278    -12.9166      1.7393      3.7519    164.6234      1.5663
1313-333     12.9632        6.6801     10.5600     -7.5187      3.5149      5.6806    199.0333    -33.6498
1921-293     13.0123        1.8231     -5.4910    -11.7970      0.9352      1.5649    291.2127    -29.2417
1040+244     13.4772       11.8320     -1.6047    -13.3814      6.4445      9.9229    160.7876     24.1432
0636+680     13.5022        8.1565    -10.1025      8.9582      5.7276      5.8072    100.5177     67.9766
1324+224     13.7084        4.9666    -13.0944      4.0566      2.3507      4.3750    201.7536     22.1806
1221+809     14.3017        6.2121      3.3312     13.9083      4.3780      4.4072    185.9187     80.6679
1923+210     14.3758        3.1800     10.5853      9.7271      1.7976      2.6232    291.4984     21.1073
0333+321     14.4387        8.4657     14.3920     -1.1605      4.6338      7.0849     54.1254     32.3082
2353-686     14.7936       20.3398    -10.9425     -9.9555     12.5875     15.9770    359.0028    -68.3343
1717+178     14.9305        8.0242     10.9297    -10.1717      4.0553      6.9241    259.8044     17.7518
0729+259     15.0023       17.9095    -12.3924     -8.4555      9.3107     15.2991    113.2345     25.8108
1657-562     15.1080       44.7951      8.8832    -12.2204     20.4490     39.8552    255.4369    -56.3655
0119+041     15.2075        2.9190    -13.6694      6.6645      1.3463      2.5900     20.4869      4.3735
2320+506     15.5479       15.3633     15.1822     -3.3527      9.2595     12.2594    350.6083     50.9644
2059+034     15.6793        6.6988      1.7213     15.5845      3.0998      5.9385    315.4118      3.6920
1511-100     15.7576       11.7123     -2.9052    -15.4875      5.6684     10.2493    228.4371    -10.2001
0355+508     15.9695        3.5367      5.9770     14.8088      2.4904      2.5112     59.8739     50.9639
0048-097     16.1959        2.3012     -1.6867    -16.1079      1.0966      2.0231     12.6722     -9.4848
0426+273     16.2027        9.0251      6.9757     14.6242      4.8284      7.6249     67.4707     27.4105
2335-027     16.4029        9.4312     12.5236    -10.5930      4.7859      8.1266    354.4889     -2.5160
2008-159     16.4233        5.8281      0.0542     16.4232      2.7426      5.1424    302.8155    -15.7778
1030+074     16.4267       12.5134     13.1115     -9.8958      6.9628     10.3974    158.3918      7.1906
0013-005     16.6649       10.8883      5.3327    -15.7886      5.1474      9.5948      4.0462     -0.2535
2007+777     16.7681        4.7255    -14.7606     -7.9558      3.2372      3.4426    301.3792     77.8787
0440+345     16.9430        6.2054     10.7388     13.1050      3.4180      5.1792     70.8818     34.6852
0716+714     16.9730        3.5726     16.5207      3.8922      2.4013      2.6453    110.4727     71.3434
0110+495     16.9762       11.3953    -13.5135     10.2750      6.4991      9.3603     18.3625     49.8067
0529+483     17.0458        7.0987     -3.7913     16.6188      4.2501      5.6858     83.3161     48.3813
0536+145     17.1239        8.0805     14.9568      8.3380      3.3585      7.3495     84.9265     14.5627
