0111+021 27 24 18.4140 0.2777 0.8010 0.1623 2.3715 0.3951 1.3971 0.3791  2
0112-017  9  6 18.8152 0.7113 1.1734 0.8466 -1.4513 1.3432 2.3303 0.8584  3
0113-118 10  5 18.6628 0.3930 0.4738 0.2584 -11.6043 1.0749 2.0860 1.1606  3
0115-214 10  8 18.1385 1.5248 0.7813 0.5770 -21.1852 5.4030 1.6712 1.5687 10
0116-219 13 11 18.3408 0.4502 0.5778 0.2894 -21.6917 0.9592 1.2741 0.5005  7
0118-272 12  8 17.9339 0.8156 0.4359 0.6081 -27.0235 1.4238 0.8746 0.8787  7
0119+041 29 28 20.4273 1.1084 0.2456 0.1269 4.3735 3.9580 0.4679 0.2086  1
0119+115 27 25 19.9895 0.3107 0.4319 0.0601 11.8307 0.6434 0.3921 0.1006  2
0123+257 15 10 19.4870 0.3126 0.3444 0.2832 25.9837 0.5057 0.4908 0.2853  4
0130-171 12 10 22.1785 0.5973 1.7666 0.8324 -16.9135 0.7967 0.8829 0.5186  2
0131-522 18 13 14.3286 0.7752 1.0143 0.3643 -52.0011 0.7386 0.9078 0.2583  8
0133+476 31 27 16.2671 1.0637 0.1555 0.0533 47.8581 1.0333 0.1373 0.0856  4
0134+311 11  8 20.7348 0.3536 0.0480 0.0740 31.3766 0.6556 0.1875 0.1912  6
0135-247 14  9 22.2093 1.8433 1.0307 1.6452 -24.5150 4.3387 1.6391 1.5638  6
0138-097 19 14 25.0114 0.4421 0.2441 0.2607 -9.4788 0.6513 0.8036 0.4660  8
0146+056 13 10 27.1968 0.4329 0.8750 0.3281 5.9315 0.6933 1.5798 0.4882 13
0148+274 14  9 24.6597 0.3841 0.3162 0.3904 27.7449 0.6040 0.5000 0.5363  3
0149+218 25 21 26.0091 0.8218 0.9277 0.3759 22.1188 0.6558 1.0085 0.4442  3
0150-334 13  7 23.6809 1.1319 0.6057 0.9879 -33.1739 1.2110 0.9308 0.7531  4
0151+474 18 15 19.3298 0.2888 0.2121 0.1314 47.7240 0.3364 0.2538 0.2520  3
0153+744 15 11 7.7508 0.7843 2.6038 1.4413 74.7120 0.6735 1.9787 1.1346  6
0159+723 21 15 9.2637 1.4596 0.5410 0.3717 72.5482 3.2544 1.0971 0.6520  4
0201+113 28 27 30.3146 0.3154 0.2152 0.0755 11.5793 1.0346 0.5383 0.1932  1
0202+319 29 25 26.4585 0.2726 5.4344 0.0724 32.2084 0.3155 1.2797 0.1075  3
0202-172 17 11 29.8717 0.3680 0.3602 0.2490 -17.0222 0.6127 0.5317 0.2544  5
0206+136 10  6 31.4557 1.1156 0.1849 0.4974 13.8669 0.9733 0.8961 0.7404  6
0208-512 28 26 20.5664 1.2065 1.2159 0.3669 -51.0172 2.6761 1.6610 0.5470  2
0215+015 21 17 34.4380 0.2183 0.3234 0.0756 1.7471 1.7032 0.5202 0.3454  3
0219+428 11  8 26.0687 0.3979 0.5838 0.4767 43.0355 0.2371 0.3349 0.2588  6
0220-349 16 12 29.3824 1.4552 1.8827 1.1715 -34.6913 1.0842 1.1840 0.6466  5
0221+067 23 19 35.8500 0.7858 0.9586 0.3302 6.9898 1.1337 5.0593 0.7503  4
0224+671 17 11 14.3285 0.9589 0.7560 0.4500 67.3508 0.4113 0.6491 0.3316  7
0227-369  9  5 29.9485 2.5213 0.9939 1.2462 -36.7325 5.8832 0.8652 1.2196  3
0229+131 34 32 36.9111 0.4213 2.2226 0.0811 13.3819 0.7530 0.2839 0.1506  2
0230-790 21 17 7.2661 0.5375 3.5229 0.3912 -78.7960 0.5023 2.9865 0.3551  6
0234+285 36 35 34.5856 0.5282 0.5062 0.1429 28.8025 0.8603 0.2535 0.2044  1
0234-301 11 10 33.9220 0.6457 0.7716 0.6177 -29.8988 1.1382 0.9943 0.8158  1
0235-618 10  8 18.6523 1.7999 2.1124 1.3074 -61.6042 0.9596 2.0159 0.7375  4
0237+040 14  9 39.8525 0.3403 1.8598 0.3099 4.2726 0.5261 1.3785 0.5099 10
0237-027 18 15 39.8990 1.5202 0.5877 0.5976 -2.5780 6.3179 1.1170 1.2324  4
0237-233 17 13 36.8093 1.5821 2.6761 1.4905 -23.1544 2.1705 4.5775 2.1884  3
0238-084 17 12 39.8527 0.5896 0.3600 0.4123 -8.2558 0.7551 0.5011 0.3818  6
